Patent_ID,Application_Date,Citation,Company,Applicant_ID
CN201910123456.X,2023/01/15,15,Company_A,Applicant_1
CN202010234567.8,2022/05/20,7,Company_B,Applicant_2
CN202110345678.1,2023/01/10,22,Company_C,Applicant_3
CN202120456789.5,2021/12/01,5,Company_D,Applicant_4
CN201920567890.3,2022/11/30,10,Company_E,Applicant_5
CN202220678901.7,2023/03/05,30,Company_F,Applicant_6
CN202120789012.2,2021/06/15,25,Company_G,Applicant_7
CN202210890123.4,2022/01/25,18,Company_H,Applicant_8
CN201910901234.6,2023/02/28,35,Company_I,Applicant_9
CN202111012345.9,2021/11/10,12,Company_J,Applicant_10
CN202211123456.0,2022/08/15,40,Company_K,Applicant_11
CN202021234567.X,2022/09/20,8,Company_L,Applicant_12
